_Document_	_Target_	slice
945841602852876288	positive	train
946324421773545472	positive	train
946450330564177920	positive	train
946755113875488768	positive	train
949081308436758529	negative	train
947103710861074432	positive	train
948825464260481024	negative	train
945639277991485440	positive	train
946627376326246400	positive	train
947369352894009344	positive	train
961524000655663105	negative	train
946482123413868544	positive	train
946343438731169792	positive	train
958741688125677568	negative	train
949475921127493632	negative	train
949449186608529408	negative	train
944930306393436160	positive	train
947818386687479808	negative	train
947168810636857344	positive	train
945873336940113920	positive	train
946948358027046912	positive	train
946016790521491456	positive	train
947467898099871744	positive	train
945013454284509184	positive	train
946058301539840000	positive	train
948035953645338624	negative	train
949081954342916096	negative	train
948835312498892801	negative	train
960687903885099008	negative	train
961914033174495233	negative	train
945717153646354432	positive	train
946380088576266241	positive	train
945662472492429313	positive	train
949350821816348673	negative	train
945174255511027712	positive	train
945669212760166400	positive	train
947181406144393216	positive	train
961232878192402433	negative	train
945161597101772800	positive	train
945872686823047168	positive	train
946488989489487874	positive	train
945467651261739008	positive	train
948705947576340482	negative	train
958731357546516480	negative	train
947211844221063169	positive	train
948981223917064192	negative	train
945089551562928137	positive	train
946221678069272576	positive	train
949504371091542016	negative	train
958654345926471680	negative	train
946489329215455232	positive	train
947492707370496006	positive	train
945408826169286656	positive	train
945359140448358405	positive	train
958437261346996224	negative	train
959342840915509248	negative	train
960976362935869444	negative	train
946627145669005312	positive	train
958799380743680003	negative	train
948110129899040768	negative	train
958765868279791617	negative	train
958465530947518464	negative	train
945873194359099392	positive	train
949143530923999232	negative	train
946694107698675712	positive	train
948492021270007810	negative	train
948794204108423168	negative	train
961210950383583232	negative	train
945908413896282112	positive	train
946399478847823872	positive	train
945465956783947776	positive	train
945372029519200257	positive	train
946923469018628097	positive	train
947528052807942144	positive	train
958693948544831488	negative	train
946702307583959040	positive	train
949473777838047232	negative	train
960902815811063809	negative	train
945032458671714305	positive	train
961637548819968000	negative	train
949021942220279809	negative	train
949144281691832320	negative	train
945523087386308609	positive	train
947914583074852866	negative	train
962055922259410944	negative	train
949453989116071936	negative	train
961259084212244480	negative	train
945517416708235264	positive	train
947118739060903936	positive	train
945175463487422464	positive	train
961354064209502208	negative	train
962054118704492549	negative	train
959283399251845121	negative	train
949814430833020929	negative	train
960868074428813312	negative	train
945944380061470720	positive	train
944961277172092930	positive	train
945230211750203392	positive	train
960633088530374657	negative	train
948932351890939910	negative	train
944906717640437760	positive	train
961406534969249792	negative	train
945593069377908736	positive	train
945931151213977600	positive	train
948583520028504064	negative	train
946997716617449472	positive	train
961107694995288066	negative	train
946400099588026370	positive	train
961338889221955586	negative	train
945000762328932353	positive	train
961090611578396672	negative	train
945424588376125440	positive	train
946097665091149825	positive	train
949838292220071939	negative	train
962069323073314816	negative	train
948454356432531456	negative	train
961051331921432576	negative	train
949431478256943104	negative	train
948703904958619648	negative	train
950071558445420545	negative	train
949860870158364672	negative	train
949939483968815104	negative	train
960611584321163264	negative	train
961664887293292544	negative	train
949708528817618946	negative	train
950065367631781889	negative	train
948074922932281345	negative	train
960613522114842630	negative	train
946344457930145797	positive	train
947687880947728384	negative	train
948297682426236928	negative	train
947502715009224711	positive	train
960749987989778432	negative	train
944972903757615109	positive	train
946498309224480769	positive	train
948523080116191232	negative	train
962037077247377409	negative	train
949872605808521216	negative	train
946339009529249792	positive	train
949473370973749249	negative	train
947062501811859457	positive	train
959144848807915522	negative	train
961780268431327232	negative	train
945756391343407104	positive	train
946624142543130625	positive	train
947048631269330944	positive	train
947502132005130240	positive	train
961219045382131714	negative	train
945444586796744704	positive	train
960883945662570497	negative	train
948055683634810882	negative	train
961622747121115137	negative	train
947518514952359936	positive	train
945410990409207809	positive	train
949451820665004032	negative	train
949991388501876736	negative	train
945565579888545792	positive	train
946616617936609280	positive	train
948577400547430400	negative	train
961312297326202880	negative	train
947299622602641409	positive	train
961650949633789953	negative	train
948462099142926336	negative	train
946783664473608192	positive	train
947417541269323777	positive	train
961028493952802816	negative	train
947561628207329280	negative	train
950142790301753344	negative	train
945261161485762560	positive	train
944959960139616256	positive	train
949926825567899648	negative	train
947933251905163265	negative	train
961617441351610368	negative	train
961534582884626432	negative	train
945988265085059072	positive	train
946037254526513157	positive	train
946736386278912000	positive	train
946871652595286016	positive	train
948022166985101312	negative	train
961102699575021569	negative	train
958560573850972160	negative	train
948199846069944320	negative	train
946549236451049472	positive	train
945774183602061312	positive	train
959248796231217154	negative	train
958503908841869312	negative	train
946802270435512331	positive	train
958878015584395264	negative	train
946064240695181312	positive	train
945165627823665152	positive	train
961218835658416128	negative	train
947003395684163584	positive	train
945695515215302656	positive	train
945300738950991872	positive	train
945441197799157760	positive	train
962046191482519558	negative	train
947059947489017856	positive	train
958414930864062464	negative	train
945042394973696000	positive	train
946797425993371649	positive	train
961068390189228032	negative	train
961552203155619840	negative	train
946128254146138114	positive	train
945071302137798658	positive	train
947523065780387845	positive	train
948317680867643394	negative	train
961348666144550913	negative	train
949945129514782721	negative	train
958772344281096192	negative	train
948238890837491712	negative	train
961734986721349632	negative	train
947412365502541825	positive	train
948947594000195584	negative	train
961902649808433159	negative	train
947731069675110400	negative	train
945859537684267009	positive	train
945855376955600896	positive	train
960968880318423040	negative	train
960913280616120320	negative	train
946749397014073344	positive	train
958948819600838657	negative	train
961953807746842624	negative	train
947274276436135941	positive	train
945071922894835712	positive	train
946844762920964096	positive	train
946268876584771585	positive	train
947504354986041344	positive	train
947528291849768962	positive	train
945186221851996160	positive	train
962086658136006656	negative	train
962106371347972096	negative	train
947554237835350017	negative	train
961331679213314054	negative	train
946621768558510082	positive	train
947077341276188673	positive	train
947905548531392512	negative	train
948591296263761920	negative	train
962048875849592837	negative	train
945628473464324096	positive	train
945910385240047618	positive	train
948266782959300608	negative	train
945184804215099392	positive	train
947494884218363907	positive	train
947031635949600770	positive	train
960999716832997376	negative	train
948266019625324544	negative	train
945642352420388864	positive	train
949320127903809536	negative	train
947701386581565441	negative	train
958689720690716672	negative	train
950044261881233410	negative	train
960874802083958784	negative	train
948857001223729152	negative	train
944900111607500801	positive	train
944917161448947714	positive	train
946014634653421568	positive	train
959235303184596994	negative	train
947770508711473152	negative	train
945805959640813568	positive	train
950005842056753155	negative	train
960757491603857408	negative	train
946540784916074496	positive	train
948256603387568128	negative	train
948594324572286976	negative	train
945059826526191616	positive	train
948679452132888578	negative	train
950022753511493634	negative	train
960676738631065600	negative	train
945704935638704128	positive	train
946118762465554432	positive	train
946005361051308032	positive	train
947507374855569408	positive	train
949257741813432321	negative	train
961349442090815488	negative	train
945908812363550720	positive	train
946400942643122181	positive	train
949461207509094403	negative	train
948652898011025408	negative	train
945812297242628097	positive	train
947728209151275008	negative	train
947437367761108993	positive	train
946926241470324737	positive	train
960641900771393536	negative	train
948251553449754624	negative	train
947008756029669381	positive	train
948509465413804033	negative	train
958676647057686528	negative	train
960645302360379392	negative	train
946901255997112320	positive	train
946109824378572800	positive	train
948568177285349376	negative	train
946800261363879937	positive	train
948477181822455808	negative	train
947492099196297218	positive	train
959012422051758081	negative	train
947186015684440067	positive	train
948086234961756161	negative	train
960682036070637568	negative	train
959098182973214720	negative	train
949600731010617344	negative	train
947669778319122432	negative	train
947151102318989312	positive	train
961862791337410561	negative	train
961419214362955776	negative	train
947752578057510912	negative	train
949042041358569473	negative	train
946823451662196736	positive	train
947043367417937921	positive	train
948767599638151168	negative	train
946628420712071168	positive	train
945528749721866241	positive	train
958533277354201088	negative	train
948026361272139777	negative	train
945811244472250369	positive	train
949076094899990528	negative	train
945217758840741888	positive	train
948588251220148224	negative	train
948224311428513793	negative	train
947137743427026944	positive	train
945540674119757824	positive	train
946252552378638336	positive	train
947555508709294080	negative	train
961100879263862784	negative	train
949882709903523841	negative	train
949797418719219712	negative	train
949100304401920001	negative	train
958404478645997569	negative	train
945160540145504257	positive	train
947431835465785344	positive	train
962033713415577601	negative	train
950141523613532160	negative	train
947572113967370240	negative	train
946606677431742464	positive	train
947322070504898560	positive	train
946802308171608064	positive	train
946653385205334016	positive	train
958475345614725120	negative	train
950062771378556928	negative	train
949503892953485313	negative	train
945299409369214976	positive	train
945828529215803392	positive	train
960643079370928128	negative	train
945484889872314370	positive	train
946901708986347520	positive	train
948070573418180608	negative	train
949383201855823872	negative	train
945905746339700736	positive	train
948991609017860096	negative	train
947816088238247937	negative	train
947733724661088256	negative	train
961520259315400705	negative	train
960823170193330176	negative	train
949290163796041728	negative	train
946358752122490880	positive	train
959328639006502912	negative	train
946756833544245249	positive	train
946797493131644928	positive	train
946417854076866561	positive	train
947559539448172544	negative	train
946106162755358720	positive	train
947147440678830081	positive	train
959138435696078853	negative	train
949864179455766528	negative	train
950059839534837760	negative	train
947270564468740096	positive	train
946109765675036673	positive	train
946351147870236672	positive	train
945986058855968768	positive	train
945736283875295232	positive	train
947488898963394561	positive	train
948675803121938438	negative	train
946403253687803905	positive	train
949541746517606400	negative	train
945995592504938497	positive	train
946329891112345600	positive	train
962085857015480320	negative	train
947637633173266433	negative	train
947258925283532801	positive	train
947469844231999489	positive	train
961060907546705923	negative	train
949145728747692040	negative	train
950038284998193152	negative	train
949739352778772480	negative	train
947724983756886016	negative	train
946094116701483008	positive	train
945505324525535232	positive	train
948548459862347778	negative	train
961253614823014401	negative	train
946921778718310401	positive	train
949287433278865408	negative	train
948699945522966528	negative	train
949068071205068800	negative	train
945360314866036736	positive	train
946994277267079168	positive	train
948041938913017857	negative	train
961151672289562624	negative	train
946588394473140224	positive	train
950058149251198976	negative	train
946258525034082304	positive	train
945484692756750336	positive	train
958493213337190400	negative	train
945185181689925632	positive	train
945640263665328128	positive	train
949812795046072320	negative	train
949110534309273600	negative	train
958835435001786368	negative	train
950119511901925376	negative	train
959050401487077378	negative	train
946358915733839873	positive	train
947252705139011590	positive	train
948807223215644672	negative	train
945221760202375168	positive	train
961056650332459009	negative	train
944965190445096960	positive	train
946626512316375041	positive	train
949136480282095618	negative	train
961452307396382720	negative	train
948211648862420992	negative	train
946820071032348672	positive	train
959364366079594497	negative	train
947299119269367808	positive	train
947440878364385281	positive	train
961078120945041408	negative	train
946930129577566208	positive	train
961940138514309120	negative	train
947612463142334464	negative	train
945153028151181313	positive	train
945417579681796098	positive	train
947117589804867585	positive	train
947745523246624768	negative	train
948732463974666242	negative	train
958440755189526533	negative	train
958939315333148672	negative	train
945519295731089408	positive	train
960985309407252480	negative	train
959134912489099265	negative	train
948856950887923713	negative	train
948690164414664704	negative	train
960684548437626880	negative	train
947807284389908480	negative	train
948404448396742656	negative	train
958655537091981312	negative	train
948360156559171585	negative	train
946424774665916416	positive	train
945387594594095105	positive	train
946814140286427138	positive	train
947677676202024961	negative	train
959032248518377472	negative	train
947422511519580161	positive	train
945028721546813440	positive	train
947204722297135106	positive	train
962031263963013120	negative	train
945496180925935621	positive	train
949469273138774016	negative	train
947141430228557830	positive	train
958441011042111488	negative	train
961102246594469889	negative	train
945210821457539072	positive	train
960998416603115521	negative	train
960601329243635712	negative	train
945363712248111105	positive	train
959107620144664576	negative	train
961416341226897408	negative	train
945883386509438976	positive	train
948616407553597443	negative	train
961883007891095552	negative	train
958453455525437445	negative	train
947576392140689409	negative	train
945960150665482242	positive	train
949424909981138944	negative	train
946062068049784832	positive	train
947485832927109120	positive	train
946551606249746433	positive	train
948416397989773312	negative	train
947499753809383424	positive	train
946384106690174976	positive	train
946426993452703745	positive	train
948687635232579584	negative	train
947148501837864970	positive	train
946853491271548928	positive	train
947427729217114112	positive	train
961608591345033216	negative	train
944908747691802624	positive	train
961912825219375104	negative	train
946792577373786112	positive	train
949848127850369024	negative	train
945702574233075712	positive	train
944908659598925824	positive	train
961775407237345280	negative	train
961462658942885889	negative	train
949789902534860801	negative	train
949552836253290496	negative	train
960744346642534400	negative	train
946362585741393920	positive	train
944892859672662016	positive	train
947493177149263873	positive	train
960674775722020864	negative	train
950028239640059905	negative	train
947081720104230912	positive	train
947214042040623105	positive	train
948089892403167233	negative	train
958838861765009408	negative	train
946915743140073472	positive	train
945404938057928704	positive	train
949022974048374785	negative	train
946544312350846976	positive	train
945813207402168320	positive	train
949595836266131461	negative	train
945937602087022592	positive	train
945276873361248256	positive	train
961056478332444672	negative	train
947420301104635904	positive	train
949066938734530560	negative	train
945743284173004801	positive	train
949106390366375936	negative	train
961699129612156928	negative	train
946478533056090112	positive	train
946889738434351105	positive	train
945309043685330944	positive	train
948334013470707712	negative	train
945345907406409729	positive	train
961772043372060672	negative	train
946452222182801409	positive	train
945415390250881027	positive	train
949931355437084672	negative	train
950027375642906624	negative	train
